Company,Product,Gross,Issue,Issue Year,Size,Issue Date,Invoice Number,Invoice Amount,Invoice Date,Commissioned Rep
(IN) Larkin,Calabasas Style Magazine,300.0000,Nov/Dec,2023,Holiday Gift Guide,11/1/2023 12:00:00 AM,2023-35400,300.0000,10/31/2023,Linda Perry
(Inactive) Providence Saint John's Health Center,Malibu Magazine,1500.0000,The Health Issue,2024,Full Page,4/1/2024 12:00:00 AM,2024-42183,1500.0000,03/13/2024,Anthony McDemas
(Inactive) Providence Saint John's Health Center,Malibu Magazine,1500.0000,Summer,2024,Full Page,6/1/2024 12:00:00 AM,2024-44488,1500.0000,05/14/2024,Anthony McDemas
123 Roadside Rescue & Rescue,Atascadero News,60.0000,Dec 28,2023,Fictitious Business Name - New Filing,12/28/2023 12:00:00 AM,2023-38056,60.0000,12/21/2023,Cami Martin
"1800 El Pomar - Weddings, Events & Vineyards",Atascadero News Magazine,418.5000,December,2021,3/8,12/1/2021 12:00:00 AM,2022-20244,418.5000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Atascadero News Magazine,418.5000,February,2021,3/8,2/1/2021 12:00:00 AM,2022-20245,418.5000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Atascadero News Magazine,418.5000,January,2022,3/8,1/1/2022 12:00:00 AM,2022-20246,418.5000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Atascadero News Magazine,418.5000,March,2021,3/8,3/1/2021 12:00:00 AM,2022-20247,418.5000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Paso Robles Magazine,576.0000,December,2021,3/8,12/1/2021 12:00:00 AM,2022-20271,576.0000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Paso Robles Magazine,576.0000,January,2022,3/8,1/1/2022 12:00:00 AM,2022-20281,576.0000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Paso Robles Magazine,576.0000,February,2021,3/8,2/1/2021 12:00:00 AM,2022-20318,576.0000,12/31/2022,Dana McGraw
"1800 El Pomar - Weddings, Events & Vineyards",Paso Robles Magazine,576.0000,March,2021,3/8,3/1/2021 12:00:00 AM,2022-20319,576.0000,12/31/2022,Dana McGraw
1868 Brands,Atascadero News,75.0000,Sep 26,2024,Fictitious Business Name - New Filing,9/26/2024 12:00:00 AM,2024-47922,75.0000,09/19/2024,Cami Martin
1Heart Caregiver Services,Malibu Magazine,900.0000,The Health Issue,2024,1/2 Page,4/1/2024 12:00:00 AM,2024-39953,900.0000,02/07/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,Summer,2024,1/2 Page,6/1/2024 12:00:00 AM,2024-44452,800.0000,05/15/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,Autumn,2024,1/2 Page,8/1/2024 12:00:00 AM,2024-44453,800.0000,07/01/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,The Home Issue,2024,1/2 Page,10/1/2024 12:00:00 AM,2024-44454,800.0000,10/01/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,Winter - Food and Wine,2024,1/2 Page,12/1/2024 12:00:00 AM,2024-44455,800.0000,11/04/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,Special Fire,2025,1/2 Page,2/1/2025 12:00:00 AM,2025-44456,800.0000,01/10/2025,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,800.0000,Special Return to Malibu,2025,1/2 Page,4/1/2025 12:00:00 AM,2025-44457,800.0000,03/11/2025,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,0.0000,The Home Issue,2024,Full Page Editorial,10/1/2024 12:00:00 AM,2024-44458,0.0000,10/01/2024,Anthony McDemas
1Heart Caregiver Services,Malibu Magazine,0.0000,Special Return to Malibu,2025,1/3 Page,4/1/2025 12:00:00 AM,2025-56484,0.0000,07/17/2025,Anthony McDemas
2340 Media,Atascadero News,75.0000,Mar 7,2024,Fictitious Business Name - New Filing,3/7/2024 12:00:00 AM,2024-40710,75.0000,02/27/2024,Cami Martin
24K Tequila / Squeaky Clean Windows,The Malibu Times,400.0000,Dec 14,2023,2x5,12/14/2023 12:00:00 AM,2023-37411,400.0000,12/12/2023,Kaleb Rich-Harris
2GIRLS1CUTT,Atascadero News,60.0000,Nov 23,2023,Fictitious Business Name - New Filing,11/23/2023 12:00:00 AM,2023-35987,60.0000,11/19/2023,Lukas Johnson
3C Coast to Coast Cannabis,Calabasas Style Magazine,575.0000,Nov/Dec,2023,1/4 Page V,11/1/2023 12:00:00 AM,2023-32052,575.0000,09/19/2023,Linda Perry
4 Mammoth Real Estate,The Malibu Times,75.0000,Oct 12,2023,Fictitious Business Name - New Filing,10/12/2023 12:00:00 AM,2023-32455,75.0000,10/06/2023,Lukas Johnson
43 Embroidery And Design,Atascadero News,60.0000,Jun 29,2023,Fictitious Business Name - New Filing,6/29/2023 12:00:00 AM,2023-29371,60.0000,06/20/2023,Cami Martin
"43 U-Cart And Landscape Supply, 43 Farms",Atascadero News,75.0000,Mar 14,2024,Fictitious Business Name - New Filing,3/14/2024 12:00:00 AM,2024-42000,75.0000,03/11/2024,Cami Martin
"43 U-Cart And Landscape Supply, 43 Farms",Paso Robles Magazine,375.0000,March,2026,1/4 Page V,3/1/2026 12:00:00 AM,2026-61210,375.0000,02/05/2026,Dana McGraw
"43 U-Cart And Landscape Supply, 43 Farms",Atascadero News Magazine,375.0000,March,2026,1/4 Page V,3/1/2026 12:00:00 AM,2026-61211,375.0000,02/05/2026,Dana McGraw
46 West Studios,Paso Robles Press,75.0000,Aug 7,2025,Fictitious Business Name - New Filing,8/7/2025 12:00:00 AM,2025-56939,75.0000,08/04/2025,Cami Martin
4th Generation Tree,Atascadero News,75.0000,Oct 17,2024,Fictitious Business Name - New Filing,10/17/2024 12:00:00 AM,2024-48164,75.0000,10/09/2024,Cami Martin
5th Generation LLC,Atascadero News,75.0000,Apr 2,2026,Fictitious Business Name - New Filing,4/2/2026 12:00:00 AM,2026-62146,75.0000,03/26/2026,Cami Martin
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,May,2023,1/8 Page,5/1/2023 12:00:00 AM,2023-27119,263.0000,04/15/2023,Dana McGraw
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,June,2023,1/8 Page,6/1/2023 12:00:00 AM,2023-27120,263.0000,05/10/2023,Dana McGraw
