Name,Address,City,ANM,PRM,Notes
Morjesi's Salon,5905 Entrada Ave,Atascadero,10,0,
Black Sheep Finds,5965 Entrada Ave,,5,5,
Specs By Kyla,"5808 Traffic Way, Atascadero",Atascadero,10,5,Bar
Colony Park Comm Center,5599 Traffic Way,Atascadero,30,0,"15 in rack, 5 on table"
Atascadero Unified School District Office ,5601 W Mall,Atascadero,10,0,
Wild Fields Brewhouse,6907 El Camino Real,Atascadero,10,0,
Atascadero Chamber,6907 El Camino Real Suite A,Atascadero,50,25,
Vino Inn Suites,6895 El Camino Real,Atascadero,20,10,
Atascadero City Hall,6907 El Camino Real,Atascadero,10,0,
Mechanic's Bank,6950 El Camino Real,Atascadero,10,0,Lobby table
Jamba Juice,6994 El Camino Real,Atascadero,15,0,
Midland Pacific Homes,7305 Morro Road Suite 207,Atascadero,,25,
El Camino Car Wash,7200 El Camino Real,Atascadero,15,0,Tent table area
Medpost -- NEW NAME,7330 El Camino Real,Atascadero,10,0,Lobby table
Pacific Premier Bank,7480 El Camino Real,Atascadero,10,0,Lobby table
Coast Hills,8900 Pueblo Ave,Atascadero,10,0,Front table
Cowgirl Cafe,8300 El Camino Real,Atascadero,10,,No rack currently. Re-activate when racks are available? CM
Terra Paints,8384 El Camino Real,Atascadero,10,0,Front desk
DK Donuts,8550 El Camino Real Suite A,Atascadero,20,,
Mid Coast Mower & Saw,8710 El Camino Real,Atascadero,10,0,Counter
Miner's Ace Hardware,9370 El Camino Real,Atascadero,10,0,Front counter
Urgent Care,9700 El Camino Real #100,Atascadero,10,0,Lobby
Chalk Mountain Liquir,9990 El Camino Real,Atascadero,50,,
**NEW DROP*GATE CODE NEEDED* Country Care Convalescent,14900 El Camino Real,Atascadero,10,,"Gate Code 3911#
Driveway circles around building. Drop at door and ring door bell"
Santa Margarita Liquor,22350 El Camino Real,Santa Margarita,70,0,
The Barn,22390 El Camino Real,Santa Margarita,15,15,Counter
J's Country Kitchen,22412 El Camino Real,Santa Margarita,10,5,
Ancient Peaks,22720 El Camino Real,Santa Margarita,25,15,Manager on duty
Margarita adventures,22719 El Camino Real,Santa Margarita,25,25,Counter
Atascadero Pet Hospital,9575 El Camino Real,Atascadero,15,0,
Moose Lodge,8507 El Camino Real,Atascadero,10,,
Figueroa's Tires,"8325 El Camino Real,",Atascadero,10,,
Stove and Spa Center,7485 El Camino Real,Atascadero,10,10,
Perry's Parcel,7395 El Camino Real,Atascadero,15,10,Also Drop: Central Coast Living
Mr Pickles,7177 El Camino Real,Atascadero,10,0,Back counter
